job_description,job_title,job_type,organization,sector,min_salary_annual,max_salary_annual,city,state
"Position Description Southwest Region District Vice President Opening North Texas DistrictThe following opportunity is for a qualified candidate to join the management team in the Southwest Region. We have an immediate opening for a District Vice President in our North Texas District. The district office is located in Plano, Texas. The District Vice President position will report directly to the Regional Vice President.The demographics of North Texas District include25 fulltime advisors Outstanding growth potential Job responsibilities associated with the District Vice President position include Motivate and lead financial advisors Recruit, select and train all new financial advisors Grow the business through new group acquisition Coach and assist with ongoing advisor development Embrace and promote company initiatives Facilitate the sales of all products offered by AIG Maintain current groups and increase participation levels Address and solve businessrelated challenges as needed Additional duties and responsibilities as assigned by the Regional Vice President MON123 Position Requirements The Ideal Candidate Should Have Bachelors degree or equivalent experience Extensive knowledge of Retirement Plan types and law Minimum of 5 years experience in a similar role Series 7, 24, 66, 51 and Life and Health licenses To be successful in this position, candidates must demonstrate strong communication and relationshipbuilding skills in working with advisors, clients and the community. Candidates must also be a team player and embrace change.In addition, the successful candidate must possess and effectively demonstrate strong leadership skillsknowledge of all VALIC product offeringsmentoring and coaching skillsability to build customer loyalty andsuperior planning and organizational skills About Us American International Group, Inc. AIG is a leading international insurance organization serving customers in more than 130 countries and jurisdictions. AIG companies serve commercial, institutional, and individual customers through one of the most extensive worldwide propertycasualty networks of any insurer. In addition, AIG companies are leading providers of life insurance and retirement services in the United States.AIG Property Casualty is a global market leader, one of the few truly global property casualty franchises.AIG Life and Retirement is one of the largest life insurance organizations in the U.S., and provides protection, investment and income solutions needed for financial and retirement security.United Guaranty Corporation is the marketplace leader in mortgage insurance in the U.S.Additional information about AIG can be found at www.aig.com YouTube www.youtube.comaig Twitter AIGLatestNews LinkedIn httpwww.linkedin.comcompanyaig",Job Details,Not Specified,Not Specified,Not Specified,,,Location(s):,Not Specified
"Job DescriptionThis Data Entry Clerk Position Features Business Casual Environment Variety Of Duties Close To Great Lunch SpotsImmediate need for data entry specialist seeking business casual environment, variety of duties and close to great lunch spots. Strong attention to detail, ability to work independently and great typing speed will be keys to success in this stable organization. Will be responsible for fast accurate data entry, efficiency in a fast paced working environment and general office duties for Hotels and Lodging company. We are an equal employment opportunity employer and will consider all qualified candidates without regard to disability or protected veteran status. You can view all of our jobs online at httpwww.appleone.comsc11id1107180 Job Experience,,, Ability to type 50 WPM, enter 10000 KPH and proficiency in Microsoft Suite are a major plusYears of Experience Required",Data Entry Clerk Business Casual Environment Job in Las Vegas,Not Specified,Other/Not Classified,Experienced (Non-Manager),,,Las Vegas,NV 89119
"RESPONSIBILITIESKforce has a client seeking a BI with Oncology in Coral Gables, FL. The Business Intelligence Consultant is responsible for both Data Warehouse and nonData Warehouse BI systems development, with some guidance from Supervisor or Team Lead. The Business Intelligence Consultant is also responsible for ensuring high levels of BI availability through support function design of data structures and indepth testing. Responsibilities Assess and cultivate longterm strategic goals for BI development in conjunction with endusers, managers, clients and other stakeholders Works closely with customers to understand business requirements and translate to appropriate technical solution to implement a BI solution to end users Develop and generate standard and adhoc reporting capabilities from new and existing data sourcesREQUIREMENTS Bachelors degree and minimum 3 years of experience is required Experience in oncology is a must Excellent written and verbal communication skills Selfmotivated with ability to learn new concepts and job requirements quickly Indepth knowledge of IS implementation life cycle with extensive analytical and Business Intelligence design skills Solid project management skills in planning and monitoring small to large projects in a crossfunctional environment Strong problemsolving skills Knowledge and understanding of BI tool architectures, functions and features The BI main role is to strategically design and implement BI applications, including integration with databases and data warehouses This includes gathering requirements, selecting, blueprinting, designing, testing, and rolling out BI solutions to end users Experience in Clinical and Healthcare IT preferred Knowledge of relational database management, Data Warehouse Architecture, and BI tools are a must Experience in at least three of the following areas is essential Create reports and report templates, Design, code, extract, manipulate, and load into a data modeldata warehouse Strong project management skills and experience in all stages of development life cycle requiredKforce is an Equal OpportunityAffirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",BI with Oncology Job in Coral Gables,Full Time,Not Specified,Experienced (Non-Manager),,,Coral Gables,FL 33143
"Summary Event Specialist Part Time Sales Are you outgoing, friendly and enjoy meeting new people Our part time Event Specialist jobs are fun and exciting and could be a great fit for you Join our winning team as a retail demonstrator promoting best in class products at your local retailers. You can be the brand ambassador who excels in captivating an audience during instore events, with an emphasis on brand awareness, product demonstration and sales. The instore demonstrator is responsible for reviewing program materials, set up and break down of the work area, and the preparation and sampling of products on scheduled event days. Take this chance to join the largest sales and marketing agency in North America, Advantage Solutions, where you will receive topnotch training and competitive pay rates. Responsibilities Set up, break down, product preparation and sampling during instore demonstrations Generate brand awareness and positive product impressions to increase sales Assess customers individual usage needs and interests in order to best recommend products Timely complete of all call reports, paperwork, and ongoing personal training by required deadlines Qualifications High School Diploma preferred or equivalent jobrelated experience Experience in event marketing, demonstrations, sales, brand promotion or retailgrocery Interact in a friendly, enthusiastic, energetic and outgoing manner with management, clients, and consumers in any setting Stand comfortably for up to 6 hours a day Able to work independently and as a motivated team player Ability to work a parttime retail schedule, Monday through Sunday Minimal travel required for training or other scheduled events Daily access to a PC computer with internetemail access Advantage Solutions is one of North Americas leading sales and marketing agencies specializing in outsourced sales, merchandising, category management and marketing services to manufacturers, suppliers and producers of food products and consumer packaged goods. Advantage Solutions services a variety of trade channels including grocery, mass merchandise, specialty, convenience, drug, dollar, club, hardware, consumer electronics and home centers. We bridge the gap between manufacturers and retailers, providing consumers access to the best products available in the marketplace today. Advantage Sales and Marketing, LLC dba Advantage Solutions is proud to be an Equal Opportunity Employer.",Event Specialist Part Time Sales Job in Henderson,Part Time,Retail,Sales/Retail/Business Development,,,Henderson,NV
"The Phlebotomy Manager is responsible for the day to day management of staff and operations related to biological specimen collection, processing and shipping activities for clinical research investigations. This will include ensuring compliance according to protocols, Standard Operating Procedures SOPs, Good Clinical Practices GCPs, FDA regulations and other regulatory standards.HS Diploma with at least 3 years of managementsupervisory experience with full and part time staff in a laboratorymedical, research or similar setting are required. Must be able to prioritize projects and work schedules to ensure timely completion of projects. Candidate must have very high attention to detail and follow up skills along with excellent communication skills both written and verbal. Good computer skills including MS Word, Excel and experience using computerized clinical laboratory systems. Candidate must be flexible to work all shifts including evenings and regular weekends as needed. Current CPR certification is required.EOE",Manager,Full Time,Biotechnology/PharmaceuticalsHealthcare Services,Medical/Health,,,Las Vegas,NV
"Do you have experience in the RESTAURANT, RETAIL or HOSPITALITY industry and are looking for a CAREER rather than just a jobThe Job Window is hiring a Marketing Customer Service Assistant on behalf of our progressive marketing client in the Las Vegas area. This firm is looking to build its organization around a highenergy, hardworking individual with excellent customer service and communication skills. This firm respects the high level of people skills and hard work it requires to succeed in the customer service industry and they are looking for that experience to aid in servicing clients through creative marketing and promotional solutions.No more shift hours or doubles No more relying on the tips that people give youOur client is the leading marketing and advertising firm in Las Vegas. They work with clients from leading industries across the country with a strong focus in the promotional marketing industry This firm has an internal training program where they create the next generation of branch managers from within Our client is in immediate need of a Marketing Customer Service Assistant who is passionate about sales marketing, advertising, special events, and promotions to help manage new campaigns and acquire new clients.ResponsibilitiesInteract with consumers and represent some of the nations largest clients to promote products and create a positive brand experience.Proactively identify new customer service techniques to increase brand loyalty and increased profit.Demonstrate key features of products on behalf of a large portfolio of consumer accounts.Collaborate with Client Relations Manager to support marketing campaign objectives.Complete subscription transaction paperwork to initiate or update any customer subscription setups, changes, etc.The Marketing Customer Service Assistant should be a highly personable, ambitious, and proactive leader looking to excel within an entrepreneurial environment. Extensive training and full support of the management staff is provided. This is a career path that will require a high level of dedication and commitment from the candidate, and in return will result in great experience, accomplishments, and financial freedomRequirementsStop working double shifts and start working for a company that offersAdvancement opportunities from entry level into human resources, management and consulting.Fun exciting team environment.Full paid training.Fun company events and opportunity for travel.Qualifications12 years experience in customer service, retail, restaurantfood service, sales, hospitality, and other customer service associated environments providing frontline, interactive customer support preferred.Understanding of customer service and promotional fundamentals including product positioning, pricing, market research, and distribution preferred.A positive and cheerful attitude towards customers and their requests.An ability to clearly communicate with other team members.Well organized with a high attention to detail.If youre tired of rotating shifts, no growth, or Last Call hours... Let this firm be your answer For immediate consideration, submit your resume by hitting the APPLY button Thank you for your interest and good luck",Marketing Customer Service Assistant Job in Las Vegas,Full Time,Retail;Advertising and PR Services;Business Services - Other,Customer Support/Client Care,,,Las Vegas,NV 89130
"Maryland Creek Ranch Builders, LLC Vice Presidentof ConstructionMCRB is team oriented, high quality development and construction company in Silverthorne, CO. Qualifications A minimum of 10 years of mountain construction experience. Multifamily and custom homes preferred. Ability to manage staff and daily operations for a significant long term construction project in Silverthorne, CO. Excellent communication skills. Microsoft software PC knowledge. Full Time, Year Round Position with great benefits. Salary based on experience. EOE. Qualified applicants can email a resume tolknightdaiglemcrbuilders.com",Vice President of Construction Job in function wrapEL,Full Time,Other/Not Classified,Entry Level,,,80498,Not Specified
"Provides respiratory therapy modalities per protocol and those ordered by physicians to improve the cardiopulmonary conditions of patients from neonatal to geriatric ages. Duties include assessment, administration and evaluation of respiratory care treatments, coordinating with physicians on treatment care plans, performing intubations, airway management and provision of life support intrahospital and interhospital transportation to critical patients may include both adult and pediatric patients. Job Requirement EducationExperience Equivalent to graduation from high school and successful completion of an approved school of Respiratory Therapy. The ARCP will be able to complete primary job duties in either PICU or NICU, AND will be able to at least complete job duties as a secondary in the other unit at the time of hire or within 90 days from the hire into this classification. LicensingCertification Requirements Credentialed by the NBRC as a Certified Respiratory Therapist CRT with 5 years of NICUPICU primary experience OR a Registered Respiratory Therapist RRT with NICUPICU primary experience at time of hire. Current licensure by the Nevada State Board of Medical Examiners as a Respiratory Care Practitioner. Basic Life Support BLS and Pediatric Advanced Life Support PALSCertificate From the American Heart Association AHA. State of Nevada Blood Gas Technologist or Blood Gas General Laboratory Supervisor license at time of hire or within 90 days from date of hire into classification. NRP AHA required within 90 days of hire. Knowledge, Skills, Abilities, and Physical Requirements Knowledge of Anatomy and physiology blood gases advanced respiratory and cardiology principles dynamics of aerosol and IPPB therapy respiratory care modalities for adults, pediatrics and neonatal patients when trained and competent respiratory drug pharmacology respiratory care equipment in use at facility pulmonary rehabilitation techniques patient acuity assessment methods Hospital standards of care department and hospital emergency response policies and practices patient rights age specific patient care practices infection control policies and practices handling, storage, use and disposal of hazardous materials.Skill inUsing mechanical ventilators performing arterial blood gas sampling and analysis applying cardiopulmonary resuscitation surfactant replacement therapy administration using computers for data entry and reporting maintaining airway adjustments transporting critical patients maintaining ventilation equipment communicating with a wide variety of people from diverse socioeconomic and ethnic backgrounds establishing and maintaining effective working relationships with all personnel contacted in the course of duties efficient, effective and safe use of equipment establishing and maintaining effective working relationships with all personnel contacted in the course of duties.Physical Requirements and Working ConditionsMobility to work in a typical clinical environment and use standard equipment, stamina to remain standing andor walk for extended periods of time, vision to read printed materials and a VDT screen, and hearing and speech to communicate effectively in person and over the telephone. Strength and agility to exert up to 50 pounds of force occasionally, andor up to 20 pounds of force frequently to move objects, andor up to 10 pounds of force constantly to move objects. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of this classification. MPUMCLVSMUMCLV TrackingJobBody pmargin10px 0 5px important",PD Advanced Respiratory Care Practitioner Job in Las Vegas,Not Specified,Healthcare Services,Medical/Health,,,Las Vegas,NV
"Amazon is continuing to expand globally into new marketplaces and new businesses. Amazon Fresh Global Product and Technology organization is the tip of the sward in the expansion effort. The team is responsible for reimagine and delivering next generation of grocery shopping experience to customers around the globe. In this role, you are responsible for designing and driving technical changes to the Amazon websites so to support customers worldwide Responsibilities include collection of business and systems requirements from internal and external customers, writing specifications, driving project schedules from design to release, and responsible for the production launch. You will lead and coordinate designimplementation efforts of technology solutions for grocery shopping experience between multiple internal teams across the globe to develop optimal solutions for a localized grocery shopping experience, You will be expected to make educated tradeoffs to optimize timetomarket, clearly communicate goals, roles, responsibilities, and desired outcomes to internal crossfunctional and remote project teams. A strong candidate will possess a strong program management background, will have demonstrated experience leading large sized projects, and will have a wellrounded technical background in current development technologies. You must enjoy an entrepreneurial environment, and driven by strong desire to solving for ambiguity or multiple competing priorities. You are not only able to develop and drive highlevel strategic initiatives, but can also roll up your sleeves, dig in and get the job done. As a TPM, you will work to understand the details of business desires, match with technology, and balance the business needs versus technical capability. An ability to take large, complex projects and break them down into manageable pieces, develop functional specifications, then deliver them in a successful and timely manner is expected. Maturity, high judgment, negotiation skills, ability to influence, analytical talent, and leadership are essential to success s in this role. 7 years of software related program management experience in a related industry. A bachelors degree in Engineering, Information Systems, Computer Science or equivalent. The ability to comfortably and confidently present to all levels within the enterprise and to work with both technical and nontechnical individuals. A proven track record for being detailoriented with a demonstrated ability to selfmotivate and followthrough on projects. Proven track record in researching, developing and shipping software solution. 7 years of Technical consultancy, technical program management experience in a related industry. 4 years of experience with current software engineeringdevelopment experience. Project management, Process Improvement or Quality certifications desired e.g. PMP, Lean or Six Sigma. Knowledge of the technical and UX requirements for international software deployments Experience deploying localized software in multiple countries worldwide",Sr TPM,Full Time,Business Services - Other,Experienced (Non-Manager),,,Seattle,WA
"Description The Opportunity The Vehicle Maintenance Mechanic will be responsible for conducting maintenance on our fleet of company vehicles, trucks, and heavy equipment. Responsibilities Include Perform preventative maintenance tasks and inspections on company vehicles and equipmentPerform routine maintenance such as changing oil, checking batteries, and lubricating equipment, vehicles, and machineryAssist drivers with addressing outstanding vehicle issuesAccurately record time, parts, and inspection checklistsMove company equipment safely on yard as neededAbility to troubleshoot, diagnose and repair equipment and vehiclesDisassemble, inspects and replace worn or broken parts. Fit and adjust new or repaired parts.Diagnose and repair engines, transmissions, clutches, electrical and pneumatic systems, gearboxes, hydraulics, cooling systems, exhaust, brakes, suspensions, lights, etc on a variety of yard equipment, heavy duty trucks, trailers, and other equipment.Safely operates gauges, forklifts, shunt truck, torches, grinders, and various hand and power toolsPerform other duties and tasks as assigned from time to time by management and will be required by the needs of the Clean Harbors business. Qualifications High school diploma or equivalent requiredMechanics with electrical experience, brakes and engine overhaulMust have own tools3 years experience with heavyduty trucks and equipmentRead and understand technical blueprints is requiredValid drivers license with a clean driving record Clean Harbors is the leading provider of environmental, energy and industrial services throughout United States and Canada, as well as Mexico and Puerto Rico. The Company serves a diverse customer base, including a majority of the Fortune 500 companies, thousands of smaller private entities and numerous federal, state, provincial and local governmental agencies. Through its SafetyKleen subsidiary, Clean Harbors also is a premier provider of used oil recycling and rerefining, parts washers and environmental services for the small quantity generator market. For many positions, we have implemented a Competency Based Progression and Pay Program, which directly rewards employees for developing increased proficiency in their key job functions through training and experience. At Clean Harbors you are offered unique opportunities for all stages of your career. Clean Harbors offers all eligible employees a comprehensive benefits package including Competitive annual salary CBPP Competency Based Pay Program Opportunities for growth, development and internal promotion Health, Dental and Life Insurance 401K, tuition reimbursement, and generous paid time off Company paid certifications, licenses and training To learn more about our company visit us at We thank all those interested in joining the Clean Harbors team however only those that complete the online application and meet the minimum job qualifications will be considered for this role. Clean Harbors is a Military Veteran friendly company.CHSK Potential Applicants We are an Equal Opportunity Employer and do not discriminate against applicants due to veterans status or on the basis of disability.",Vehicle Maintenance Mechanic Las Vegas,Full Time,Energy and Utilities,Installation/Maintenance/Repair,,,Las Vegas,NV
"Advance Enterprise Inc. is currently hiring candidates for our entry level Management position, with an emphasis in customer relations and sales we have a base line for career growth in the management field. Our talented team of professionals represent our clients with unparalleled integrity, and are always looking for opportunity. Advance Enterprise Inc. is a marketing firm based in San Diego, CA and is getting ready to expand into numerous retailers within the next year. This position involves responsibilities in Entrylevel managementRetail Sales and PromotionsCustomer ServiceFace to face marketing Our team at Advance Enterprise crosstrains all employees in leadership and business development which includes InterviewingTrainingTeam DevelopmentCompany Culture RequirementsDuties and Responsibilities Sell products and services in a retail store environment Maintain professional interaction with both customers and fellow employees Meet or exceed personal sales goals on a monthly basis Courteously welcome customers and offer assistance Direct customers by escorting them to displays assess needs and suggests products to fit those needs Advise customers by providing information on products and services Help customers make selections by building customer confidence Accurately document and report sales Contribute to team effort by accomplishing related results as needed As a company, we offer advancements base solely on individualteam performance. We are looking for candidates that fit these criteriaEnjoy a team environmentLeadership skillsBusiness management, time management skillsPerformance driven individualsProfessionalism and strong verbal communicationStrong WorkEthic and Superb AttitudeTeam Player that can contribute to our company successWE STRICTLY DO NOT PARTICIPATE IN DOORTO DOOR, NO B2B, and NO telemarketing conducted Also Visit Us onlinehttpwww.advanceenterpriseinc.com",Entry Level ManagementPaid Training Job in San Diego,Full Time,RetailManagement Consulting ServicesOther/Not Classified,Business/Strategic Management,,,San Diego,CA 92121
"Position Outside Sales Established TerritoryCompany Mac ToolsDescription Automotive technician tools equipment salesMac Tools doesnt just offer a job. Our company provides entrepreneurs with opportunities for fulfilling careers where they can build their own businesses selling our worldclass automotive tools to automotive professionals. Imagine running your own mobile tool store, on a protected route, selling one of the most recognizable respected brands in the world. We are always looking for great people to be part of the driving force behind Mac Tools and contribute to the ongoing success of our mobile distribution model. Mac Tools is a worldwide supplier of automotive repair tools and is part of Stanley Black Decker, one of the largest tool companies in the world. Founded in 1938, Mac Tools is an international business with Distributors and Franchisees in the United States, Canada, Europe and Japan. Mac Tools has the power of Stanley Black Decker Inc behind us, allowing us to be stronger than ever. With a product line in excess of 42,000 items, Mac has the right tools for every automotive technician. Mac Tools has a focus on innovative, firsttomarket automotive tools that are exclusive to and only available on a Mac Tools Truck. Also, you will have access to great brands such as Dewalt, Stanley Vidmar, Proto, Lista, Cribmaster and moreWE CURRENTLY HAVE A LOCAL ROUTE AVAILABLE.WE GIVE YOU THE TOOLS TO RUN A SUCCESSFUL BUSINESSYour own route within protected territory of approx. 325 customersNo Experience necessary, we offer comprehensive training Your Mac Tools truck, which will become your own personal mobile tool storeInitial Inventory of topselling, hightransaction toolsMobile business software to operate your business100 Financing for Qualified CandidatesWorking capital to help your business growThe power of Stanley Black Decker behind usNational marketing supportMonthly flyers and promotions to help grow your businessOngoing field support, training mentoring NO EXPERIENCE NECESSARY You dont need an automotive tools background to be a highperforming franchisee. People from all walksoflife have found success with the Mac Tools brand COMPREHENSIVE TRAINING SUPPORTThe Mac Tools training program consists of classroom and fieldbased training to ensure that you have all the tools you need to establish and run a successful business. Although you operate an independent business, youre far from being alone. Youll have one of the most extensive support systems in the industry with an ongoing training and support.AWARD WINNING1 New Franchise 20142016 3 Fastest Growing Franchise 2015 Top 100 Franchise 2017 Entrepreneur MagazineOVER 75 YEARS OF KNOWLEDGEMac Tools has been operating in mobile tool distribution for over 75 years, creating a wellestablished brand with a long history. In this time, we have refined the model to help you be successful as a franchisee. Additionally, Mac Tools has the power of Stanley Black Decker Inc. behind us, allowing us to be stronger than ever.LOW START UP COSTMac Tools franchises have lower startup costs than many other franchise opportunities. With our low startup costs, we offer a variety of options to fit your unique financial needs. We offer up to 100 financing for qualified individuals. DISCOVERY DAY WITH MAC TOOLSFind out what its like to be your own boss. We invite you to participate in a Discovery Day with an already successful Mac Tools franchise owner so that you can learn more about the mobile tool business. These events will help you to experience the business and learn about the full potential of the opportunity. There is no cost or obligation to participate in a Discovery Day. VETERANS PROGRAMOur Veterans Program offers vets or their spouse discounts of up to 10,000 off their starting tool inventory for a Mac Tools franchise. The International Franchise Association has recognized this incentive as part the Veterans Transition Franchise Initiative VetFran.So what are you waiting for If youve always aspired to run your own business and be a part of one of the leading mobile tool companies in the industry, then you owe it to yourself to learn more today Mac Tools, a division of Stanley Black Decker Inc. 505 N Cleveland Ave. Westerville, Ohio 43082 The offer of a franchise can only be made through the delivery of a Franchise Disclosure Document. Certain jurisdictions require registration prior to the offer or sale of a franchise. We do not offer franchises in jurisdictions where we are not registered or exempt from registration",Outside Sales Territory Manager Established Route Job in Las Vegas,Full Time,Automotive Sales and Repair Services,Not Specified,,,Las Vegas,NV
"RESPONSIBILITIESKforce has a client in Irvine, CA that is searching for a Business Systems Analyst Sales Operations.Responsibilities Perform application development and maintenance support of application systems under direct supervision Will work closely with coworkers in a team oriented environment Act as lead on small enhancements and support items Provide analytical and application development support of applications for Sales Operation systems under direct supervision Design, develop and maintain systems Meets with end usersREQUIREMENTS Must have mainframe application development experience Must have experience adhering to SDLC methodologies Extensive knowledge in mainframe based development Experienced with Hyperion implementation experience a plus Experience with Java and Web Services Must be able to communicate effectively with customers and coworkers to enhance customer satisfaction Must be a sound team player with initiative, resourcefulness and high level of professionalismKforce is an Equal OpportunityAffirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",Business Systems Analyst Job in Irvine,Full Time,Not Specified,Experienced (Non-Manager),83200.0,83200.0,Irvine,CA 92618
"Report this job About the Job Are you a proven Recruiting Manager who has managed staffing teams and started up a recruiting department from scratch If this sounds like you, please read onWe are a well established and growing publicly traded company located in the greater Las Vegas area. We are looking for a stellar Recruiting Manager who has been successful in building teams and managing recruiting objectives. This is a new role so we need someone who can roll up their sleeves and hit the ground running. This is a very dynamic role. We are interviewing immediatelyWe will assist in relocationWhats In It for You Excellent benefits Fast paced company and family type environment Collaborative work environmentWhat You Need for this Position 5 yrs progressive experience in the recruitingstaffing environment with demonstrative responsibilities managing and building teams Superb written verbal communication skills EmailInternet whiz Outlook, Word, Linked In RecruiterIf you a proven Recruiting Manager who has managed staffing teams and started up a recruiting departments, apply today Report Previous Next Caption,ImagesSrcmedia.newjobs.commmxcybercxcjt11.jpg,Titlenull,Textnull,Captionnull,Srcmedia.newjobs.commmxcybercxcjt12.jpg,Titlenull,Textnull,Captionnull,Srcmedia.newjobs.commmxcybercxcjt13.jpg,Titlenull,Textnull,Captionnull",CyberCoders Job Application for Manager of Recruiting In House RELO Monster.com var MONSLOGVARS JobID,Full Time,Staffing/Employment Agencies,Not Specified,,,Contact name Sophia Koo,Not Specified
"Report this job About the Job If you are a Senior Database Administrator with experience, please read onBased in Las Vegas, NV, we are a global and one of the largest eBingo and eGaming solutions provider. We are rapidly growing and offer solutions that allow our clients to provide superiority quality offerings to their customers in the gaming markets. We are quickly expanding and want to hire talented people to help us grow even more. We are a vibrant company with a casual work environment.What You Will Be DoingNow that we have expanded, we need an experienced Senior DBA. In this new role, you will join a small team of developers and be an integral part of developing and improving our existing DB solution. This position will require an individual who is energetic, enthusiastic and able to work under minimal supervisionResponsibilities IncludeIdentify database requirements by analyzing department applications, programming, and operations evaluate existing systems and design proposed systems.Recommend solutions by defining database physical structure and functional capabilities, database security, data backup, and recovery specifications.Install revised or new systems by proposing specifications and flowcharts recommend optimum access techniques coordinate installation requirements.Maintain database performance by calculating optimum values for database parameters implement new releases complete maintenance requirements evaluate computer operating systems and hardware products.Maintain quality service by establishing and enforcing organization standardsWhat You Need for this PositionYou will needMS SQL, FoxPro nice to have5 years MS SQL Server Administration experience requiredExperience with Performance Tuning and Optimization PTO, using native monitoring and troubleshooting toolsExperience with backups, restores and recovery modelsKnowledge of High Availability HA and Disaster Recovery DR options for SQL ServerExcellent written and verbal communicationMCTS, MCITP, andor MVP certifications a plusExperienced in Agile developmentExperience working in the online Gaming industry an advantageDiplomaCertificate in Computer Science, Engineering or related disciplineGaming Experience is a major plus along with architecture on a web based platform experience. This job is more than IT as you will need soft skills to communicate with the company.Whats In It for YouIn addition to an amazing culture and a chance to join a rapidly expanding company, we offer a base salary of between 80K120K DOE. We also offer 500month for you to spend on benefits as well as potential stock options. Our product is released all over the globe so this is a chance to work with an international product.So, if you are a Database Administrator with experience, please apply today Report Previous Next Caption,ImagesSrcmedia.newjobs.commmxcybercxcjt11.jpg,Titlenull,Textnull,Captionnull,Srcmedia.newjobs.commmxcybercxcjt12.jpg,Titlenull,Textnull,Captionnull,Srcmedia.newjobs.commmxcybercxcjt13.jpg,Titlenull,Textnull,Captionnull",CyberCoders Job Application for Senior Database Administrator Expanding Gaming Company Monster.com var MONSLOGVARS JobID,Full Time,Computer Software,Not Specified,,,Contact name Blake Condon,Not Specified
"We are looking to fill several Entry Level positions in entry level marketing, entry level advertising, entry level event promotions, entry level sales and entry level management. We have rapid advancement opportunities with all promotions from within and are searching for the right candidates to grow with usSEEKING A CAREER CHANGEJUST GRADUATED AND LOOKING FOR A CAREER PATHJUST LOOKING TO GET YOUR FOOT IN THE DOORWe are the perfect transition from student to professional offering various training and development opportunities ranging from Marketing, Event Promotions, Advertising, and Business Management Development at an Entry Level with self paced rapid advancement. We have recently expanded again and are looking to fill entry level positions in entry level management, entry level marketing, entry level advertising, entry level sales and entry level event promotions.We are looking for the right people to lead in expanding and growing our marketing and sales divisions. The right candidate will be selfmotivated, have natural leadership abilities, and be careeroriented. MAIN JOB RESPONSIBILITIESProfessionally representing clients in all areas of business at the local retail locations our events take place at as well as in our office.Contribute to the growth and performance of the division by leading by example and hitting company goals.Train and develop new marketing professionalsManage promotions and materialsEducate retail consumers on the products and services our clients offer. No experience is necessary, training is provided for those candidates that qualify. WE ALSO OFFER FLEXIBLE WORK HOURS TO ACCOMMODATE ANY LIFESTYLE RequirementsJob RequirementsENTRY LEVEL MARKETING ENTRY LEVEL EVENT PROMOTIONS AND ENTRY LEVEL BUSINESS MANAGEMENT DEVELOPMENTAll applicants must be 1. COMPETITIVE, individuals to take our company to the next level.2. DETERMINED to satisfy client needs3. DEMONSTRATE GREAT COMMUNICATION PERSONAL SKILLS4. LEADERSHIP qualities5. TAKE CHARGE personality6. BUSINESS MINDSET Monthly opportunities for performancebased nonmonetary rewards, such as luxury vacations, highend electronics, gift cards and tickets to concerts and sporting eventsInsurance plans and paid vacation days available after 90 DaysAccess to paid training classes to develop your professional skillsetsA dynamic social program filled with cant miss events, parties, and activities, including an annual bonus in the form of a company trip to a Mexico, Jamaica or Puerto Rico each November for you and a significant other and other fully expense paid vacation activities.",ENTRY LEVEL MARKETING AND BUSINESS MANAGEMENT DEVELOPMENT Job in Romeoville,Full Time,Retail Management Consulting Services Business Services - Other,Business/Strategic Management,,,Romeoville,IL 60446
"Facilities Project ManagerUline Shipping Supply Specialists The people I work with are as passionate as I am. I came to Uline for a job. Instead, I found a career. Uline is North Americas leading distributor of shipping, packaging and industrial supplies. Were a familyowned company known for our incredible customer service and quality products. Our people make the difference. Were looking for the best and brightest to take our Facilities department to the next level. If you have passion and expertise in MEP, HVAC, building automation systems, real estate, building engineering or construction, Uline is the company for you.Uline seeks a Facilities Project Manager at its Corporate Headquarters in Pleasant Prairie, Wisconsin just over the IL WI state line. Join us to experience why Uline has been designated with the Forbes 2016 Americas Best Employers award. POSITION RESPONSIBILITIES Review and manage project planning, budgets, schedules and deadlines for a number of departments including Finance, Operations, Distribution and Facilities.Analyze project plans and establish critical objectives.Host meetings with key stakeholders and company leaders.Manage multiple projects simultaneously.Manage deadlines and conduct weekly status meetings with Operations.Coordinate project phases, review financial statements and assure ontime delivery of projects.Complete ad hoc projects as assigned. MINIMUM REQUIREMENTS Bachelors degree. Major in an analytical field desired.5 years analysis, financial or operations experience preferred. PMP certification a plus.Microsoft Access andor SQL experience strongly preferred.Extremely organized with a strong ability to multitask.Superior writing skills. BENEFITS Complete insurance coverage medical, dental, vision, life.401k with company match.Generous paid time off.Tuition reimbursement.3 bonus programs. Please visit www.uline.comjobs to learn more about our job openings and benefits package. HOW TO APPLY Please click the APPLY button to submit your resume for immediate consideration EEOAA EmployerVetDisabledUline is a drugfree workplace",Facilities Project Manager Job in Pleasant Prairie,Full Time,Business Services - Other,Experienced (Non-Manager),,,Pleasant Prairie,WI 53158
"Franchised Sales Manager MARRIOTT INTERNATIONAL, INC. Bellevue, WA 98007 Posted 12152016 Expires 2132017 Job ID 177689236",Franchised Sales Manager Job in Bellevue,Full Time,Not Specified,Education Level High School or equivalent,,,Bellevue,WA 98007
